max_rounds,player_style,rounds
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.IMPULSIVE,139
true,PlayerStyle.EXIGENT,69
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.EXIGENT,1000
false,PlayerStyle.IMPULSIVE,1000
true,PlayerStyle.RANDOM,107
false,PlayerStyle.IMPULSIVE,1000
true,PlayerStyle.RANDOM,94
false,PlayerStyle.IMPULSIVE,1000
true,PlayerStyle.CAUTIOUS,115
true,PlayerStyle.IMPULSIVE,102
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.IMPULSIVE,165
true,PlayerStyle.EXIGENT,84
true,PlayerStyle.EXIGENT,94
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.IMPULSIVE,1000
true,PlayerStyle.EXIGENT,572
true,PlayerStyle.EXIGENT,61
true,PlayerStyle.CAUTIOUS,50
true,PlayerStyle.CAUTIOUS,199
true,PlayerStyle.IMPULSIVE,116
true,PlayerStyle.RANDOM,152
false,PlayerStyle.RANDOM,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.IMPULSIVE,104
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.RANDOM,87
true,PlayerStyle.RANDOM,105
false,PlayerStyle.RANDOM,1000
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.CAUTIOUS,119
false,PlayerStyle.RANDOM,1000
true,PlayerStyle.RANDOM,111
false,PlayerStyle.RANDOM,1000
true,PlayerStyle.EXIGENT,140
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.IMPULSIVE,74
true,PlayerStyle.CAUTIOUS,78
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.EXIGENT,67
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.RANDOM,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.IMPULSIVE,1000
true,PlayerStyle.CAUTIOUS,91
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.RANDOM,72
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.RANDOM,1000
true,PlayerStyle.IMPULSIVE,99
true,PlayerStyle.IMPULSIVE,102
true,PlayerStyle.IMPULSIVE,109
true,PlayerStyle.CAUTIOUS,158
true,PlayerStyle.CAUTIOUS,612
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.EXIGENT,1000
false,PlayerStyle.RANDOM,1000
true,PlayerStyle.IMPULSIVE,97
true,PlayerStyle.RANDOM,66
true,PlayerStyle.IMPULSIVE,87
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.IMPULSIVE,102
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.IMPULSIVE,1000
true,PlayerStyle.IMPULSIVE,174
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.CAUTIOUS,124
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.RANDOM,1000
true,PlayerStyle.EXIGENT,81
false,PlayerStyle.RANDOM,1000
true,PlayerStyle.IMPULSIVE,343
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.EXIGENT,1000
false,PlayerStyle.EXIGENT,1000
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.IMPULSIVE,84
false,PlayerStyle.RANDOM,1000
false,PlayerStyle.EXIGENT,1000
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.RANDOM,149
true,PlayerStyle.CAUTIOUS,70
false,PlayerStyle.EXIGENT,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.EXIGENT,61
true,PlayerStyle.CAUTIOUS,86
true,PlayerStyle.EXIGENT,124
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.IMPULSIVE,1000
true,PlayerStyle.IMPULSIVE,69
true,PlayerStyle.CAUTIOUS,95
true,PlayerStyle.CAUTIOUS,235
false,PlayerStyle.RANDOM,1000
true,PlayerStyle.IMPULSIVE,108
true,PlayerStyle.RANDOM,196
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.IMPULSIVE,244
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.CAUTIOUS,121
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.RANDOM,64
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.IMPULSIVE,102
false,PlayerStyle.RANDOM,1000
true,PlayerStyle.IMPULSIVE,164
true,PlayerStyle.EXIGENT,87
true,PlayerStyle.IMPULSIVE,495
true,PlayerStyle.IMPULSIVE,136
true,PlayerStyle.IMPULSIVE,573
false,PlayerStyle.CAUTIOUS,1000
true,PlayerStyle.IMPULSIVE,280
false,PlayerStyle.CAUTIOUS,1000
false,PlayerStyle.RANDOM,1000
false,PlayerStyle.RANDOM,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.IMPULSIVE,1000
false,PlayerStyle.EXIGENT,1000
true,PlayerStyle.IMPULSIVE,120
false,PlayerStyle.IMPULSIVE,1000
true,PlayerStyle.EXIGENT,118
true,PlayerStyle.RANDOM,77
